id,first,last,email,phone,loyalty,city,country,createdAt
C00001,First1,Last1,first1.last1@demo-brand01.com,+1-555-010001,L000001,Chicago,USA,2025-12-02T10:08:15.823Z
C00002,First2,Last2,first2.last2@demo-brand01.com,+1-555-010002,L000002,San Francisco,USA,2025-11-11T10:08:15.824Z
C00003,First3,Last3,first3.last3@demo-brand01.com,+1-555-010003,L000003,Denver,USA,2025-11-30T10:08:15.824Z
C00004,First4,Last4,first4.last4@demo-brand01.com,+1-555-010004,L000004,Boston,USA,2025-10-20T10:08:15.824Z
C00005,First5,Last5,first5.last5@demo-brand01.com,+1-555-010005,L000005,Seattle,USA,2025-09-15T10:08:15.824Z
C00006,First6,Last6,first6.last6@demo-brand01.com,+1-555-010006,L000006,San Francisco,USA,2025-09-21T10:08:15.824Z
C00007,First7,Last7,first7.last7@demo-brand01.com,+1-555-010007,L000007,Austin,USA,2025-11-29T10:08:15.824Z
C00008,First8,Last8,first8.last8@demo-brand01.com,+1-555-010008,L000008,San Francisco,USA,2025-10-25T10:08:15.824Z
C00009,First9,Last9,first9.last9@demo-brand01.com,+1-555-010009,L000009,Denver,USA,2025-11-02T10:08:15.824Z
C00010,First10,Last10,first10.last10@demo-brand01.com,+1-555-010010,L000010,San Francisco,USA,2025-11-20T10:08:15.824Z
C00011,First11,Last11,first11.last11@demo-brand01.com,+1-555-010011,L000011,Boston,USA,2025-12-01T10:08:15.824Z
C00012,First12,Last12,first12.last12@demo-brand01.com,+1-555-010012,L000012,Chicago,USA,2025-10-24T10:08:15.824Z
C00013,First13,Last13,first13.last13@demo-brand01.com,+1-555-010013,L000013,Miami,USA,2025-10-14T10:08:15.824Z
C00014,First14,Last14,first14.last14@demo-brand01.com,+1-555-010014,L000014,Chicago,USA,2025-11-10T10:08:15.824Z
C00015,First15,Last15,first15.last15@demo-brand01.com,+1-555-010015,L000015,Chicago,USA,2025-11-21T10:08:15.824Z
C00016,First16,Last16,first16.last16@demo-brand01.com,+1-555-010016,L000016,San Francisco,USA,2025-10-26T10:08:15.824Z
C00017,First17,Last17,first17.last17@demo-brand01.com,+1-555-010017,L000017,Denver,USA,2025-11-10T10:08:15.824Z
C00018,First18,Last18,first18.last18@demo-brand01.com,+1-555-010018,L000018,Denver,USA,2025-12-06T10:08:15.824Z
C00019,First19,Last19,first19.last19@demo-brand01.com,+1-555-010019,L000019,San Francisco,USA,2025-11-14T10:08:15.824Z
C00020,First20,Last20,first20.last20@demo-brand01.com,+1-555-010020,L000020,Miami,USA,2025-11-21T10:08:15.824Z
C00021,First21,Last21,first21.last21@demo-brand01.com,+1-555-010021,L000021,Seattle,USA,2025-09-17T10:08:15.824Z
C00022,First22,Last22,first22.last22@demo-brand01.com,+1-555-010022,L000022,Miami,USA,2025-11-17T10:08:15.824Z
C00023,First23,Last23,first23.last23@demo-brand01.com,+1-555-010023,L000023,Seattle,USA,2025-10-16T10:08:15.824Z
C00024,First24,Last24,first24.last24@demo-brand01.com,+1-555-010024,L000024,Seattle,USA,2025-12-01T10:08:15.824Z
C00025,First25,Last25,first25.last25@demo-brand01.com,+1-555-010025,L000025,Austin,USA,2025-10-27T10:08:15.824Z
C00026,First26,Last26,first26.last26@demo-brand01.com,+1-555-010026,L000026,San Francisco,USA,2025-12-01T10:08:15.824Z
