orderId,customerId,email,phone,amount,currency,channel,status,orderDate
O00001-1,C00001,first1.last1@demo-brand01.com,+1-555-010001,173.50,USD,store,refunded,2025-10-23T10:08:15.829Z
O00001-2,C00001,first1.last1@demo-brand01.com,+1-555-010001,25.43,USD,store,completed,2025-11-26T10:08:15.829Z
O00002-1,C00002,first2.last2@demo-brand01.com,+1-555-010002,168.60,USD,web,refunded,2025-10-12T10:08:15.829Z
O00002-2,C00002,first2.last2@demo-brand01.com,+1-555-010002,143.70,USD,app,pending,2025-11-10T10:08:15.829Z
O00003-1,C00003,first3.last3@demo-brand01.com,+1-555-010003,41.76,USD,store,refunded,2025-11-21T10:08:15.829Z
O00004-1,C00004,first4.last4@demo-brand01.com,+1-555-010004,143.98,USD,store,completed,2025-11-16T10:08:15.829Z
O00004-2,C00004,first4.last4@demo-brand01.com,+1-555-010004,194.86,USD,web,pending,2025-10-15T10:08:15.829Z
O00005-1,C00005,first5.last5@demo-brand01.com,+1-555-010005,196.24,USD,app,pending,2025-10-21T10:08:15.829Z
O00006-1,C00006,first6.last6@demo-brand01.com,+1-555-010006,193.43,USD,app,completed,2025-10-27T10:08:15.829Z
O00006-2,C00006,first6.last6@demo-brand01.com,+1-555-010006,41.96,USD,app,completed,2025-11-05T10:08:15.829Z
O00007-1,C00007,first7.last7@demo-brand01.com,+1-555-010007,50.66,USD,web,completed,2025-11-27T10:08:15.829Z
O00007-2,C00007,first7.last7@demo-brand01.com,+1-555-010007,126.90,USD,store,refunded,2025-10-16T10:08:15.829Z
O00008-1,C00008,first8.last8@demo-brand01.com,+1-555-010008,79.77,USD,web,pending,2025-12-08T10:08:15.829Z
O00009-1,C00009,first9.last9@demo-brand01.com,+1-555-010009,59.12,USD,store,pending,2025-10-18T10:08:15.829Z
O00010-1,C00010,first10.last10@demo-brand01.com,+1-555-010010,20.54,USD,web,refunded,2025-12-06T10:08:15.829Z
O00011-1,C00011,first11.last11@demo-brand01.com,+1-555-010011,91.26,USD,web,refunded,2025-11-11T10:08:15.829Z
O00012-1,C00012,first12.last12@demo-brand01.com,+1-555-010012,186.35,USD,store,refunded,2025-12-05T10:08:15.829Z
O00012-2,C00012,first12.last12@demo-brand01.com,+1-555-010012,59.08,USD,app,refunded,2025-11-25T10:08:15.829Z
O00013-1,C00013,first13.last13@demo-brand01.com,+1-555-010013,84.89,USD,app,completed,2025-11-11T10:08:15.829Z
O00013-2,C00013,first13.last13@demo-brand01.com,+1-555-010013,158.34,USD,app,pending,2025-10-11T10:08:15.829Z
O00014-1,C00014,first14.last14@demo-brand01.com,+1-555-010014,121.06,USD,web,refunded,2025-10-18T10:08:15.829Z
O00014-2,C00014,first14.last14@demo-brand01.com,+1-555-010014,198.56,USD,app,refunded,2025-11-02T10:08:15.829Z
O00015-1,C00015,first15.last15@demo-brand01.com,+1-555-010015,186.82,USD,web,refunded,2025-10-30T10:08:15.829Z
O00015-2,C00015,first15.last15@demo-brand01.com,+1-555-010015,167.73,USD,store,completed,2025-10-25T10:08:15.829Z
O00016-1,C00016,first16.last16@demo-brand01.com,+1-555-010016,65.44,USD,web,refunded,2025-10-29T10:08:15.829Z
O00016-2,C00016,first16.last16@demo-brand01.com,+1-555-010016,31.10,USD,app,completed,2025-11-02T10:08:15.829Z
O00017-1,C00017,first17.last17@demo-brand01.com,+1-555-010017,135.45,USD,app,refunded,2025-10-24T10:08:15.829Z
O00018-1,C00018,first18.last18@demo-brand01.com,+1-555-010018,90.60,USD,store,refunded,2025-10-31T10:08:15.829Z
O00019-1,C00019,first19.last19@demo-brand01.com,+1-555-010019,154.47,USD,app,completed,2025-10-31T10:08:15.829Z
O00019-2,C00019,first19.last19@demo-brand01.com,+1-555-010019,112.83,USD,web,completed,2025-10-19T10:08:15.829Z
O00020-1,C00020,first20.last20@demo-brand01.com,+1-555-010020,146.12,USD,store,refunded,2025-11-10T10:08:15.829Z
O00021-1,C00021,first21.last21@demo-brand01.com,+1-555-010021,81.20,USD,store,completed,2025-11-30T10:08:15.829Z
O00022-1,C00022,first22.last22@demo-brand01.com,+1-555-010022,179.69,USD,store,pending,2025-10-22T10:08:15.829Z
O00022-2,C00022,first22.last22@demo-brand01.com,+1-555-010022,131.11,USD,store,completed,2025-10-16T10:08:15.829Z
O00023-1,C00023,first23.last23@demo-brand01.com,+1-555-010023,55.06,USD,store,refunded,2025-11-16T10:08:15.829Z
O00024-1,C00024,first24.last24@demo-brand01.com,+1-555-010024,50.30,USD,store,refunded,2025-11-15T10:08:15.829Z
O00025-1,C00025,first25.last25@demo-brand01.com,+1-555-010025,188.12,USD,app,completed,2025-10-24T10:08:15.829Z
O00025-2,C00025,first25.last25@demo-brand01.com,+1-555-010025,164.41,USD,app,completed,2025-10-26T10:08:15.829Z
O00026-1,C00026,first26.last26@demo-brand01.com,+1-555-010026,37.45,USD,store,pending,2025-11-09T10:08:15.829Z
O00027-1,C00027,first27.last27@demo-brand01.com,+1-555-010027,147.88,USD,app,pending,2025-10-25T10:08:15.829Z
O00027-2,C00027,first27.last27@demo-brand01.com,+1-555-010027,134.00,USD,app,completed,2025-10-26T10:08:15.829Z
O00028-1,C00028,first28.last28@demo-brand01.com,+1-555-010028,200.33,USD,store,completed,2025-12-02T10:08:15.829Z
O00029-1,C00029,first29.last29@demo-brand01.com,+1-555-010029,184.52,USD,web,refunded,2025-11-01T10:08:15.829Z
O00029-2,C00029,first29.last29@demo-brand01.com,+1-555-010029,180.75,USD,store,completed,2025-11-25T10:08:15.829Z
O00030-1,C00030,first30.last30@demo-brand01.com,+1-555-010030,136.17,USD,web,refunded,2025-10-27T10:08:15.829Z
O00031-1,C00031,first31.last31@demo-brand01.com,+1-555-010031,48.59,USD,store,refunded,2025-11-14T10:08:15.829Z
